common_name,scientific_name,ideal_soil,sun_req,water_req,usda_zone_min,usda_zone_max
Phyllostachys makinoi,Phyllostachys makinoi,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,7.0,10.0
Phyllostachys meyeri,Phyllostachys meyeri,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,7.0,10.0
Phyllostachys parvifolia,Phyllostachys parvifolia,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Phyllostachys iridescens,Phyllostachys iridescens,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade, Full shade",Moist,,
Paeonia suffruticosa,Paeonia suffruticosa,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,5.0,8.0
Paeonia veitchii,Paeonia veitchii,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,7.0,10.0
Paeonia szechuanica,Paeonia szechuanica,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,6.0,9.0
Oxalis violacea,Oxalis violacea,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Dry, Moist",4.0,8.0
Vaccinium erythrocarpum,Vaccinium erythrocarpum,"Light (sandy), Medium","Full sun, Partial sun/shade",Moist,5.0,9.0
Paeonia hybrida,Paeonia hybrida,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Oxyria digyna,Oxyria digyna,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,2.0,8.0
Oxydendrum arboreum,Oxydendrum arboreum,"Light (sandy), Medium","Full sun, Partial sun/shade",Moist,5.0,8.0
Oxytropis lambertii,Oxytropis lambertii,"Light (sandy), Medium",Full sun,"Dry, Moist",3.0,7.0
Oxandra laurifolia,Oxandra laurifolia,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,10.0,12.0
Prunus padus,Prunus padus,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,3.0,6.0
Vaccinium macrocarpon,Vaccinium macrocarpon,"Light (sandy), Medium","Full sun, Partial sun/shade","Moist, Wet",,
Vaccinium oxycoccos,Vaccinium oxycoccos,"Light (sandy), Medium","Full sun, Partial sun/shade","Moist, Wet",,
Prunus cornuta,Prunus cornuta,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,4.0,8.0
Pachysandra terminalis,Pachysandra terminalis,"Light (sandy), Medium, Heavy (clay)","Partial sun/shade, Full shade","Dry, Moist",4.0,8.0
Pachyrhizus tuberosus,Pachyrhizus tuberosus,"Light (sandy), Medium",Full sun,Moist,9.0,11.0
Baboso,Pachycereus hollianus,"Light (sandy), Medium",Full sun,"Dry, Moist",9.0,11.0
Pachyphragma macrophylla,Pachyphragma macrophylla,"Light (sandy), Medium, Heavy (clay)","Partial sun/shade, Full shade","Dry, Moist",6.0,9.0
Roundleaf ragwort,Packera obovata,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade, Full shade",Moist,3.0,8.0
Papaver somniferum,Papaver somniferum,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,,
Papaver rhoeas,Papaver rhoeas,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,4.0,8.0
Papaver nudicaule,Papaver nudicaule,"Light (sandy), Medium","Full sun, Partial sun/shade","Dry, Moist",4.0,10.0
Papaver orientale,Papaver orientale,"Light (sandy), Medium",Full sun,"Dry, Moist",3.0,9.0
Prickly Poppy,Papaver argemone,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,7.0,10.0
Picea glauca,Picea glauca,"Light (sandy), Medium, Heavy (clay)",Full sun,"Moist, Wet",2.0,6.0
Picea mariana,Picea mariana,"Light (sandy), Medium, Heavy (clay)",Full sun,"Moist, Wet",3.0,5.0
Picea abies,Picea abies,"Light (sandy), Medium, Heavy (clay)",Full sun,"Moist, Wet",2.0,7.0
Picea engelmannii,Picea engelmannii,"Light (sandy), Medium, Heavy (clay)",Full sun,"Moist, Wet",3.0,7.0
Picea jezoensis,Picea jezoensis,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,,
Picea asperata,Picea asperata,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",,
Picea glehnii,Picea glehnii,"Light (sandy), Medium, Heavy (clay)",Full sun,"Moist, Wet",4.0,7.0
Picea breweriana,Picea breweriana,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,5.0,9.0
Picea brachytyla,Picea brachytyla,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,7.0,10.0
Picea sitchensis,Picea sitchensis,"Light (sandy), Medium, Heavy (clay)",Full sun,"Moist, Wet",6.0,7.0
Picea rubens,Picea rubens,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,6.0,7.0
Picea smithiana,Picea smithiana,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,6.0,9.0
Picea pungens,Picea pungens,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",3.0,7.0
Picea orientalis,Picea orientalis,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,4.0,7.0
Picea omorika,Picea omorika,"Light (sandy), Medium, Heavy (clay)",Full sun,"Moist, Wet",4.0,7.0
Picea purpurea,Picea purpurea,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,4.0,7.0
Picrasma quassioides,Picrasma quassioides,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,5.0,9.0
Picrasma excelsa,Picrasma excelsa,"Light (sandy), Medium",Full sun,Moist,10.0,12.0
Phytolacca dodecandra,Phytolacca dodecandra,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade, Full shade","Dry, Moist",10.0,12.0
Phytolacca americana,Phytolacca americana,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,4.0,8.0
Phytolacca acinosa,Phytolacca acinosa,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,7.0,10.0
Phytolacca esculenta,Phytolacca esculenta,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,5.0,9.0
Phytolacca dioica,Phytolacca dioica,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,8.0,11.0
Hu Huang Lian,Picrorhiza scrophulariiflora,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Kuru,Picrorhiza kurroa,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Picris hieracioides,Picris hieracioides,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",5.0,9.0
Phyteuma spicatum,Phyteuma spicatum,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Withania somnifera,Withania somnifera,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,10.0,12.0
Photinia serratifolia,Photinia serratifolia,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,6.0,10.0
Photinia arbutifolia,Photinia arbutifolia,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Dry, Moist",8.0,11.0
Photinia x fraseri,Photinia x fraseri,"Light (sandy), Medium","Full sun, Partial sun/shade","Dry, Moist",7.0,9.0
Photinia villosa,Photinia villosa,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,4.0,8.0
Photinia parvifolia,Photinia parvifolia,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,5.0,9.0
Photinia davidiana,Photinia davidiana,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Photinia bodinieri,Photinia bodinieri,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,8.0,11.0
Photinia arguta,Photinia arguta,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Phragmites australis,Phragmites australis,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Moist, Wet, Water",4.0,10.0
Mouse-Ear Hawkweed,Pilosella officinarum,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",4.0,8.0
Polemonium reptans,Polemonium reptans,"Light (sandy), Medium","Full sun, Partial sun/shade",Moist,4.0,8.0
Bitter Milkwort,Polygala amara,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,5.0,9.0
Pieris japonica,Pieris japonica,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade, Full shade",Moist,4.0,7.0
Pimelea arenaria,Pimelea arenaria,"Light (sandy), Medium",Full sun,"Dry, Moist",8.0,11.0
Polianthes tuberosa,Polianthes tuberosa,"Light (sandy), Medium",Full sun,Moist,8.0,11.0
